farmer_id,food,A,B,C,transport,date_harvest,date_delivery,item_details_tbl.price_q1/*uts{kg/pc/bndl/pkt},item_details_tbl.qty_slab_no,*uts,cost,
16,57,725,2125,1575,1,2018/07/14 10:00,2018/07/20 02:00,60,0,1,101000,
16,129,6500,4600,4700,0,2018/08/10 15:00,2018/08/16 08:00,160,2,0.25,1094000,
17,157,5000,8800,300,0,2018/08/03 00:00,2018/08/07 12:00,30,0,1,201000,
17,99,5100,9300,5500,1,2018/07/06 19:00,2018/07/12 13:00,40,2,0.25,334000,
17,47,1200,5100,3200,1,2018/08/11 15:00,2018/08/17 19:00,70,0,1,260000,
18,147,1525,1100,1800,0,2018/08/10 01:00,2018/08/15 01:00,20,0,1,36000,
18,122,1700,8800,4200,0,2018/07/20 15:00,2018/07/27 14:00,40,0,1,232000,
18,13,7600,1700,2100,1,2018/07/07 17:00,2018/07/13 17:00,60,3,1,336000,
18,175,7900,4900,8500,0,2018/08/15 12:00,2018/08/20 12:00,50,0,1,439000,
19,23,9000,5700,7900,1,2018/07/10 22:00,2018/07/17 01:00,150,0,1,1433000,
19,4,3700,4600,2600,0,2018/07/13 09:00,2018/07/18 18:00,190,0,1,887000,
19,56,9700,3900,6500,0,2018/07/30 08:00,2018/08/03 15:00,400,2,0.25,3510000,
19,63,3100,2600,2400,1,2018/07/08 23:00,2018/07/13 22:00,30,5,1,107000,
19,12,3900,100,8000,0,2018/08/12 07:00,2018/08/17 12:00,200,2,0.25,818000,
20,89,2500,5600,3000,1,2018/08/03 12:00,2018/08/08 11:00,20,0,1,92000,
20,38,10000,9100,7100,1,2018/07/31 05:00,2018/08/04 18:00,60,0,1,674000,
20,26,2300,8000,9100,0,2018/08/13 23:00,2018/08/19 21:00,280,0,1,1913000,
21,154,5200,3500,9900,1,2018/07/05 01:00,2018/07/09 10:00,30,0,1,202000,
21,123,8300,3200,9000,0,2018/07/14 20:00,2018/07/19 11:00,40,0,1,342000,
21,41,7400,9900,2800,1,2018/07/24 03:00,2018/07/30 13:00,40,0,1,367000,
21,164,2900,1400,8900,0,2018/08/10 15:00,2018/08/16 22:00,100,2,0.25,433000,
22,146,5500,3900,3100,1,2018/07/25 14:00,2018/07/29 19:00,60,0,1,347000,
22,141,1825,1950,1175,0,2018/08/02 06:00,2018/08/09 02:00,200,2,0.25,431000,
22,65,325,900,1900,0,2018/08/02 05:00,2018/08/07 02:00,20,0,1,21000,
22,85,8500,6700,2100,0,2018/08/06 17:00,2018/08/13 06:00,30,0,1,255000,
22,20,4400,9300,6600,0,2018/08/03 18:00,2018/08/10 05:00,150,4,1,1260000,
23,56,1900,4200,2000,1,2018/08/01 11:00,2018/08/05 18:00,400,2,0.25,1339000,
23,144,8100,5000,4400,1,2018/08/11 08:00,2018/08/16 13:00,50,0,1,397000,
23,31,4100,7800,9700,0,2018/07/11 10:00,2018/07/16 01:00,180,0,1,1444000,
23,45,1500,9800,400,1,2018/07/04 13:00,2018/07/10 22:00,60,0,1,315000,
24,72,8300,6900,1400,0,2018/07/13 21:00,2018/07/18 21:00,45,0,1,376000,
24,111,1550,375,2425,1,2018/08/03 15:00,2018/08/09 02:00,120,2,0.25,199000,
24,60,625,2225,1400,0,2018/07/27 17:00,2018/08/01 12:00,20,0,1,32000,
25,170,1500,2225,25,0,2018/07/05 19:00,2018/07/12 05:00,20,0,1,37000,
25,88,2600,5200,5400,0,2018/07/20 11:00,2018/07/27 09:00,30,0,1,150000,
25,15,3500,5500,900,1,2018/08/01 04:00,2018/08/07 22:00,40,3,1,182000,
25,98,1825,325,2375,0,2018/08/13 22:00,2018/08/20 01:00,80,2,0.25,144000,
26,83,5500,700,1700,0,2018/08/05 08:00,2018/08/10 13:00,100,0,1,394000,
26,19,6400,5400,1400,0,2018/07/14 23:00,2018/07/21 05:00,35,4,1,228000,
26,163,1400,2125,1500,1,2018/08/08 21:00,2018/08/15 13:00,25,0,1,51000,
26,104,7900,1400,1400,0,2018/08/07 18:00,2018/08/13 11:00,10,0,1,54000,
26,47,5100,1100,400,1,2018/08/05 14:00,2018/08/10 20:00,70,0,1,255000,
27,177,6400,9500,5800,1,2018/07/17 11:00,2018/07/23 00:00,80,2,0.25,741000,
27,137,2000,8900,9200,1,2018/08/03 10:00,2018/08/08 06:00,60,0,1,432000,
27,83,6800,5600,600,1,2018/08/08 15:00,2018/08/15 08:00,100,0,1,651000,
27,176,75,375,2150,1,2018/08/10 10:00,2018/08/16 17:00,40,0,1,28000,
27,106,7000,8800,1700,1,2018/08/09 10:00,2018/08/13 18:00,20,0,1,171000,
28,32,8800,4100,9400,1,2018/07/31 17:00,2018/08/04 18:00,60,0,1,545000,
28,134,5400,7700,4800,0,2018/07/19 17:00,2018/07/24 20:00,60,0,1,461000,
28,25,2200,3600,3400,0,2018/08/09 10:00,2018/08/13 15:00,140,0,1,524000,
28,3,7800,3700,8400,1,2018/08/14 19:00,2018/08/21 07:00,80,0,1,643000,
28,167,1800,1800,8200,0,2018/07/05 06:00,2018/07/09 15:00,40,0,1,150000,
28,12,6400,2500,3600,1,2018/08/02 08:00,2018/08/07 10:00,200,2,0.25,1152000,
28,58,8000,5700,4300,1,2018/07/14 12:00,2018/07/20 08:00,120,2,0.25,978000,
29,15,7400,3800,7000,1,2018/07/21 13:00,2018/07/27 18:00,40,3,1,312000,
29,170,1350,1825,1325,1,2018/07/24 15:00,2018/07/30 12:00,20,0,1,37000,
29,11,650,400,750,0,2018/07/18 12:00,2018/07/23 13:00,320,2,0.25,230000,
30,126,1600,7200,8500,1,2018/08/07 13:00,2018/08/14 03:00,30,0,1,185000,
30,173,1350,1150,150,0,2018/07/12 12:00,2018/07/19 12:00,30,0,1,39000,
30,37,6500,4100,2500,1,2018/08/16 20:00,2018/08/22 11:00,70,0,1,424000,
30,140,1400,1625,2175,0,2018/07/15 05:00,2018/07/19 09:00,40,5,1,82000,
30,9,600,4000,3000,1,2018/07/18 02:00,2018/07/24 18:00,110,0,1,302000,
30,22,8000,1500,1300,1,2018/08/14 06:00,2018/08/20 15:00,1000,2,0.25,5615000,
31,116,7200,6200,8600,0,2018/07/27 00:00,2018/08/01 23:00,40,0,1,362000,
31,32,2600,4100,2100,0,2018/07/30 09:00,2018/08/05 07:00,60,0,1,229000,
31,78,8900,900,9300,0,2018/08/12 16:00,2018/08/17 21:00,100,0,1,785000,
31,90,6200,9800,8900,1,2018/07/10 07:00,2018/07/16 13:00,20,5,1,197000,
32,11,175,2000,650,1,2018/07/11 19:00,2018/07/17 08:00,320,2,0.25,368000,
32,27,8900,3600,5300,1,2018/07/20 12:00,2018/07/27 11:00,80,0,1,633000,
32,82,8400,6000,2700,0,2018/07/30 14:00,2018/08/05 20:00,100,0,1,829000,
33,98,300,950,925,0,2018/07/11 15:00,2018/07/17 16:00,80,2,0.25,65000,
33,180,5300,6800,1400,0,2018/07/23 04:00,2018/07/27 21:00,40,0,1,255000,
33,39,8800,200,1800,0,2018/07/24 03:00,2018/07/29 06:00,40,0,1,223000,
33,122,5600,4400,5600,1,2018/07/06 15:00,2018/07/11 14:00,40,0,1,265000,
34,87,4800,8100,3000,1,2018/07/31 05:00,2018/08/06 20:00,25,0,1,172000,
34,27,1900,8200,1100,0,2018/08/10 23:00,2018/08/17 20:00,80,0,1,388000,
34,132,1500,8400,6700,0,2018/08/10 09:00,2018/08/15 20:00,40,0,1,239000,
34,54,9900,100,4300,0,2018/07/14 14:00,2018/07/19 01:00,100,0,1,667000,
35,118,5800,9600,5200,0,2018/07/30 02:00,2018/08/05 11:00,40,0,1,361000,
35,148,9300,5900,1500,0,2018/07/24 03:00,2018/07/28 18:00,80,2,0.25,686000,
35,157,8000,5300,3600,1,2018/07/06 22:00,2018/07/12 19:00,30,0,1,235000,
36,93,800,480,850,1,2018/08/12 05:00,2018/08/16 21:00,48,2,0.25,42000,
36,63,3200,10000,4500,1,2018/08/07 19:00,2018/08/13 11:00,30,5,1,221000,
36,136,1300,5800,8400,0,2018/07/28 01:00,2018/08/03 19:00,240,2,0.25,1252000,
36,115,3400,700,5500,0,2018/08/02 08:00,2018/08/08 00:00,40,0,1,145000,
36,147,200,1200,600,0,2018/07/15 16:00,2018/07/21 20:00,20,0,1,15000,
37,140,1300,675,2350,1,2018/08/08 16:00,2018/08/14 12:00,40,5,1,64000,
37,175,2700,7400,7500,1,2018/08/09 10:00,2018/08/13 21:00,50,0,1,328000,
37,18,5100,1500,5900,1,2018/07/07 09:00,2018/07/13 08:00,35,0,1,180000,
37,141,1950,1550,400,1,2018/07/30 10:00,2018/08/04 13:00,200,2,0.25,392000,
38,175,8800,2100,5000,1,2018/07/15 17:00,2018/07/22 14:00,50,0,1,371000,
38,101,9500,4000,6300,1,2018/07/21 03:00,2018/07/26 09:00,120,2,0.25,1059000,
38,143,8500,6500,1200,0,2018/07/23 09:00,2018/07/28 13:00,60,0,1,487000,
38,117,5200,9800,3000,0,2018/08/08 20:00,2018/08/14 10:00,40,0,1,328000,
39,135,2250,500,125,0,2018/07/07 16:00,2018/07/12 19:00,40,0,1,61000,
39,58,8200,5200,6600,1,2018/07/27 01:00,2018/08/02 08:00,120,2,0.25,1017000,
39,145,3700,6800,4000,1,2018/07/26 05:00,2018/07/31 05:00,40,0,1,241000,
39,42,3400,9200,2600,1,2018/07/25 16:00,2018/07/31 13:00,70,0,1,453000,
39,149,4200,8000,1600,1,2018/08/13 23:00,2018/08/19 06:00,50,0,1,325000,
40,23,4500,6500,4100,0,2018/08/17 10:00,2018/08/24 02:00,150,0,1,988000,
40,121,2000,9700,7900,0,2018/08/12 22:00,2018/08/18 07:00,50,0,1,369000,
40,44,1500,5000,3700,0,2018/07/26 18:00,2018/08/02 11:00,60,0,1,240000,
40,67,900,7200,4100,0,2018/08/16 09:00,2018/08/21 03:00,35,0,1,159000,
40,12,2900,8400,2900,0,2018/08/05 09:00,2018/08/10 02:00,200,2,0.25,1228000,
41,163,1625,600,1800,1,2018/07/10 00:00,2018/07/14 11:00,25,0,1,41000,
41,177,1600,6600,1500,0,2018/07/20 15:00,2018/07/27 12:00,80,2,0.25,332000,
41,60,75,2350,1175,1,2018/07/17 14:00,2018/07/22 15:00,20,0,1,26000,
42,180,4800,6300,900,1,2018/07/04 09:00,2018/07/09 16:00,40,0,1,235000,
42,95,770,50,510,1,2018/08/04 06:00,2018/08/08 13:00,100,1,0.1,58000,
42,130,5900,9500,6400,0,2018/07/18 23:00,2018/07/24 13:00,40,0,1,371000,
42,24,8900,9900,5300,1,2018/07/24 08:00,2018/07/31 07:00,120,0,1,1295000,
43,89,8500,5600,4000,0,2018/08/02 00:00,2018/08/07 17:00,20,0,1,171000,
43,125,9200,4100,8900,0,2018/07/31 00:00,2018/08/05 11:00,30,0,1,271000,
43,165,10000,7000,2000,1,2018/08/04 01:00,2018/08/08 03:00,50,0,1,476000,
44,3,1400,200,3000,1,2018/07/22 22:00,2018/07/28 02:00,80,0,1,127000,
44,124,9800,8900,3700,1,2018/08/01 11:00,2018/08/07 04:00,40,0,1,428000,
44,25,10000,3100,5100,1,2018/08/01 19:00,2018/08/06 19:00,140,0,1,1170000,
44,88,300,4900,2500,1,2018/07/13 21:00,2018/07/19 03:00,30,0,1,87000,
45,14,2900,500,7800,0,2018/07/29 23:00,2018/08/05 06:00,30,3,1,111000,
45,7,8400,4300,1700,1,2018/08/05 06:00,2018/08/11 17:00,100,0,1,728000,
45,54,3600,1000,9900,1,2018/08/05 14:00,2018/08/12 11:00,100,0,1,494000,
45,60,575,950,1800,0,2018/08/07 05:00,2018/08/13 09:00,20,0,1,23000,
45,10,350,1025,475,1,2018/08/08 22:00,2018/08/14 18:00,100,0,1,76000,
45,4,6500,5200,9400,1,2018/08/02 05:00,2018/08/07 01:00,190,0,1,1553000,
46,12,8300,9700,4000,0,2018/07/20 20:00,2018/07/26 04:00,200,2,0.25,1963000,
46,180,6900,4900,2600,0,2018/07/12 18:00,2018/07/17 14:00,40,0,1,278000,
46,125,3100,1100,7800,0,2018/08/12 20:00,2018/08/18 16:00,30,0,1,124000,
47,64,2100,4900,1500,0,2018/08/01 14:00,2018/08/06 19:00,60,4,1,225000,
47,48,10000,4100,5600,1,2018/07/11 14:00,2018/07/16 12:00,100,0,1,911000,
47,39,2400,4300,5000,0,2018/07/14 16:00,2018/07/20 14:00,40,0,1,175000,
48,98,2400,2175,1175,1,2018/07/07 22:00,2018/07/13 02:00,80,2,0.25,210000,
48,91,310,320,410,0,2018/07/30 12:00,2018/08/04 11:00,10,5,1,4000,
48,30,7600,6000,7800,0,2018/07/14 00:00,2018/07/20 18:00,120,0,1,1092000,
48,148,9300,8100,7500,0,2018/08/12 00:00,2018/08/17 10:00,80,2,0.25,865000,
48,169,2200,3900,2700,0,2018/08/10 17:00,2018/08/16 18:00,40,5,1,148000,
49,155,900,5600,8400,0,2018/07/24 07:00,2018/07/30 16:00,25,0,1,125000,
49,105,7400,7500,9600,0,2018/07/25 17:00,2018/07/30 17:00,40,5,1,389000,
49,12,6800,9100,9900,1,2018/08/14 20:00,2018/08/18 22:00,200,2,0.25,2046000,
49,93,970,820,800,1,2018/07/26 09:00,2018/08/01 05:00,48,2,0.25,54000,
50,36,4000,6300,9200,0,2018/07/17 19:00,2018/07/22 22:00,50,0,1,372000,
50,65,600,825,2250,1,2018/08/10 08:00,2018/08/14 13:00,20,0,1,24000,
50,87,6900,6000,4100,0,2018/07/16 03:00,2018/07/22 06:00,25,0,1,195000,
50,18,2800,1400,300,1,2018/07/21 06:00,2018/07/26 06:00,35,0,1,80000,
51,16,875,450,1075,1,2018/07/10 02:00,2018/07/14 03:00,30,0,1,28000,
51,96,280,90,730,1,2018/07/13 02:00,2018/07/19 19:00,200,1,0.1,75000,
51,59,6600,4900,7600,0,2018/08/13 09:00,2018/08/18 14:00,40,0,1,315000,
51,72,1000,600,4300,1,2018/08/01 18:00,2018/08/07 11:00,45,0,1,84000,
51,153,600,9900,3200,1,2018/08/03 08:00,2018/08/08 10:00,240,2,0.25,1305000,
52,154,8600,9500,8500,1,2018/08/08 11:00,2018/08/14 11:00,30,0,1,337000,
52,152,725,1550,775,1,2018/07/08 21:00,2018/07/15 15:00,120,0,1,151000,
52,31,2100,7800,7500,0,2018/07/18 21:00,2018/07/24 02:00,180,0,1,1127000,
52,79,4200,1800,7500,1,2018/07/18 08:00,2018/07/23 06:00,20,0,1,97000,
53,70,2500,4100,8800,1,2018/08/04 12:00,2018/08/10 06:00,70,0,1,373000,
53,134,5200,2200,1500,0,2018/07/04 03:00,2018/07/08 14:00,60,0,1,265000,
53,124,5300,6200,1600,1,2018/07/23 16:00,2018/07/29 08:00,40,0,1,246000,
53,159,5100,4200,5600,1,2018/08/10 05:00,2018/08/16 10:00,25,0,1,154000,
53,48,800,7900,6900,0,2018/08/14 12:00,2018/08/20 18:00,100,0,1,565000,
54,8,7100,500,8000,0,2018/08/16 07:00,2018/08/22 13:00,90,0,1,552000,
54,46,5400,7700,9200,1,2018/08/15 21:00,2018/08/20 08:00,40,0,1,341000,
54,89,500,9800,4100,1,2018/07/24 02:00,2018/07/28 19:00,20,0,1,109000,
55,76,4400,2300,7900,0,2018/08/01 17:00,2018/08/08 06:00,40,0,1,221000,
55,12,3000,5500,9400,1,2018/07/13 01:00,2018/07/18 17:00,200,2,0.25,1301000,
55,66,6500,4200,400,1,2018/08/14 15:00,2018/08/21 15:00,160,2,0.25,902000,
56,87,4000,1800,8600,0,2018/07/11 10:00,2018/07/17 11:00,25,0,1,125000,
56,54,1800,9400,8500,0,2018/07/04 16:00,2018/07/10 21:00,100,0,1,705000,
56,102,3700,7800,1800,1,2018/07/31 04:00,2018/08/06 03:00,40,0,1,239000,
56,167,2500,8800,7800,1,2018/08/05 07:00,2018/08/09 12:00,40,0,1,280000,
57,119,2900,9100,7800,0,2018/08/03 12:00,2018/08/09 21:00,60,0,1,453000,
57,105,4700,7200,8200,0,2018/07/26 22:00,2018/08/02 07:00,40,5,1,319000,
57,96,50,460,400,0,2018/07/10 01:00,2018/07/15 11:00,200,1,0.1,64000,
57,14,7900,5800,2500,1,2018/07/20 17:00,2018/07/24 20:00,30,3,1,236000,
57,69,600,2400,3700,1,2018/07/17 07:00,2018/07/24 01:00,50,0,1,112000,
57,159,8800,5800,4500,0,2018/07/16 02:00,2018/07/21 17:00,25,0,1,214000,
57,34,4500,4500,700,1,2018/07/04 07:00,2018/07/09 03:00,80,0,1,377000,
58,53,2500,6700,8600,1,2018/08/03 06:00,2018/08/08 05:00,140,0,1,916000,
58,147,1275,1525,775,0,2018/07/08 04:00,2018/07/13 13:00,20,0,1,32000,
58,9,5300,4800,1100,1,2018/07/28 20:00,2018/08/03 13:00,110,0,1,603000,
59,24,6400,7600,600,1,2018/08/14 17:00,2018/08/20 23:00,120,0,1,848000,
59,69,5200,1000,9100,0,2018/07/12 21:00,2018/07/17 04:00,50,0,1,284000,
59,127,10000,1700,5400,1,2018/08/11 17:00,2018/08/17 20:00,40,0,1,311000,
60,62,3500,4200,4600,1,2018/08/07 12:00,2018/08/12 07:00,30,0,1,145000,
60,104,700,5900,7600,1,2018/07/16 18:00,2018/07/22 06:00,10,0,1,48000,
60,77,2100,4900,4700,0,2018/08/12 02:00,2018/08/17 13:00,40,0,1,180000,
60,145,2700,3600,500,1,2018/07/22 07:00,2018/07/27 04:00,40,0,1,132000,
60,13,8100,1000,800,0,2018/08/04 17:00,2018/08/11 10:00,60,3,1,326000,
61,164,5800,9900,4100,0,2018/07/07 23:00,2018/07/12 12:00,100,2,0.25,876000,
61,44,6300,8700,5300,1,2018/07/10 04:00,2018/07/14 12:00,60,0,1,531000,
61,143,2800,4700,4200,1,2018/07/21 04:00,2018/07/25 20:00,60,0,1,274000,
62,175,4800,5300,7800,1,2018/07/06 07:00,2018/07/12 01:00,50,0,1,353000,
62,125,1200,6900,5300,1,2018/07/20 05:00,2018/07/25 09:00,30,0,1,147000,
62,85,100,8100,4500,0,2018/07/04 06:00,2018/07/08 23:00,30,0,1,140000,
62,109,7400,400,6300,0,2018/07/12 03:00,2018/07/17 06:00,40,0,1,237000,
62,141,50,1950,875,1,2018/07/04 20:00,2018/07/09 01:00,200,2,0.25,212000,
62,50,2600,4200,8600,1,2018/08/10 06:00,2018/08/16 19:00,40,0,1,213000,
63,174,1600,3700,4200,1,2018/07/05 16:00,2018/07/11 10:00,240,2,0.25,846000,
63,84,1300,5700,9700,0,2018/07/15 12:00,2018/07/21 11:00,30,0,1,167000,
63,69,200,8800,2300,1,2018/07/28 00:00,2018/08/03 17:00,50,0,1,230000,
63,29,700,2800,9600,0,2018/08/16 13:00,2018/08/22 00:00,100,0,1,397000,
63,57,1300,1350,375,0,2018/08/01 05:00,2018/08/07 20:00,60,0,1,85000,
63,71,5900,9200,2400,1,2018/07/19 04:00,2018/07/25 14:00,40,0,1,323000,
64,161,5600,7900,4100,0,2018/08/06 11:00,2018/08/10 19:00,30,5,1,225000,
64,120,3500,6100,1600,1,2018/07/27 05:00,2018/08/01 19:00,35,0,1,175000,
64,141,1800,1950,1575,1,2018/08/01 11:00,2018/08/06 08:00,200,2,0.25,464000,
65,77,6800,3200,3800,1,2018/08/13 20:00,2018/08/19 08:00,40,0,1,252000,
65,29,6500,8700,4200,0,2018/08/06 02:00,2018/08/11 01:00,100,0,1,848000,
65,3,3800,2400,1000,0,2018/08/06 18:00,2018/08/10 19:00,80,0,1,274000,
65,108,7800,1500,1100,1,2018/07/06 19:00,2018/07/11 00:00,40,0,1,221000,
66,153,2000,4500,400,1,2018/07/21 19:00,2018/07/26 01:00,240,2,0.25,757000,
66,138,9600,1600,3200,0,2018/08/09 07:00,2018/08/15 17:00,60,0,1,416000,
66,70,8100,7200,2000,1,2018/08/09 04:00,2018/08/13 05:00,70,0,1,571000,
67,146,3400,1300,800,0,2018/07/16 01:00,2018/07/21 18:00,60,0,1,161000,
67,20,7300,9700,100,1,2018/07/04 11:00,2018/07/08 13:00,150,4,1,1299000,
67,32,700,8500,9000,0,2018/07/17 17:00,2018/07/21 22:00,60,0,1,371000,
68,102,1000,8800,2500,1,2018/07/22 15:00,2018/07/29 07:00,40,0,1,200000,
68,178,1000,5400,7800,0,2018/07/04 21:00,2018/07/08 22:00,40,5,1,193000,
68,43,4000,5600,8500,0,2018/08/07 04:00,2018/08/13 12:00,80,0,1,549000,
68,143,1800,8500,8200,1,2018/08/16 08:00,2018/08/23 02:00,60,0,1,411000,
69,131,9500,9200,700,0,2018/07/13 20:00,2018/07/20 06:00,50,0,1,484000,
69,5,5300,1100,600,0,2018/07/28 16:00,2018/08/04 13:00,140,0,1,518000,
69,30,1800,3700,3900,1,2018/07/13 06:00,2018/07/19 17:00,120,0,1,423000,
70,165,5100,7700,4800,1,2018/07/30 10:00,2018/08/04 15:00,50,0,1,373000,
70,108,2300,4600,5600,0,2018/08/15 03:00,2018/08/21 04:00,40,0,1,189000,
70,73,1900,6900,7600,1,2018/07/13 03:00,2018/07/19 09:00,40,0,1,240000,
70,12,8600,700,9400,0,2018/08/17 07:00,2018/08/22 16:00,200,2,0.25,1469000,
70,18,500,6600,5000,0,2018/07/04 21:00,2018/07/11 10:00,35,0,1,153000,
70,136,7300,900,8000,0,2018/08/12 09:00,2018/08/19 04:00,240,2,0.25,1549000,
71,71,8000,7200,2500,0,2018/07/23 09:00,2018/07/30 07:00,40,0,1,333000,
71,116,9800,4100,3500,1,2018/07/23 16:00,2018/07/30 15:00,40,0,1,337000,
71,101,4200,1900,9800,1,2018/07/19 15:00,2018/07/24 19:00,120,2,0.25,668000,
