orderid,farmer_id,food,Cost,transport,A,B,C,date_harvest,date_deliver,image_path,pre_img_val,rank_in_q
40,9,20,723000,1,3700,6200,200,2018-07-23 04:00:00,2018-07-28 11:00:00,NULL,NULL,NULL
41,10,121,526000,1,7400,9700,7600,2018-08-15 03:00:00,2018-08-20 14:00:00,NULL,NULL,NULL
42,10,26,1514000,1,2500,5800,5900,2018-08-17 23:00:00,2018-08-24 21:00:00,NULL,NULL,NULL
43,10,149,443000,1,7200,5800,8800,2018-07-11 10:00:00,2018-07-16 19:00:00,NULL,NULL,NULL
44,10,59,347000,1,4100,9600,9800,2018-08-15 11:00:00,2018-08-21 05:00:00,NULL,NULL,NULL
45,10,32,479000,1,7100,6000,5500,2018-08-03 11:00:00,2018-08-09 17:00:00,NULL,NULL,NULL
46,11,159,233000,0,8600,9300,1600,2018-07-27 11:00:00,2018-08-03 04:00:00,NULL,NULL,NULL
47,11,26,723000,0,1700,600,5700,2018-07-29 14:00:00,2018-08-05 08:00:00,NULL,NULL,NULL
48,11,61,911000,1,2900,6900,4400,2018-07-22 23:00:00,2018-07-27 10:00:00,NULL,NULL,NULL
49,12,161,179000,0,4500,3300,8000,2018-07-05 00:00:00,2018-07-11 14:00:00,NULL,NULL,NULL
50,12,42,236000,1,1600,1800,7100,2018-07-29 00:00:00,2018-08-03 10:00:00,NULL,NULL,NULL
51,12,106,89000,0,3100,2500,6300,2018-07-25 07:00:00,2018-07-30 19:00:00,NULL,NULL,NULL
52,12,47,623000,0,6200,7800,7500,2018-07-04 21:00:00,2018-07-10 22:00:00,NULL,NULL,NULL
53,12,150,315000,1,5800,6900,6400,2018-08-13 23:00:00,2018-08-18 00:00:00,NULL,NULL,NULL
54,13,170,24000,0,900,1125,1050,2018-08-05 17:00:00,2018-08-11 14:00:00,NULL,NULL,NULL
55,13,168,236000,1,7800,9200,3000,2018-08-16 17:00:00,2018-08-21 07:00:00,NULL,NULL,NULL
56,13,156,174000,1,5300,3500,4900,2018-07-08 16:00:00,2018-07-15 16:00:00,NULL,NULL,NULL
57,13,34,632000,0,5200,5800,9400,2018-08-13 12:00:00,2018-08-17 21:00:00,NULL,NULL,NULL
58,14,176,35000,0,400,700,1500,2018-07-13 13:00:00,2018-07-18 03:00:00,NULL,NULL,NULL
59,14,59,199000,1,3700,4300,4100,2018-08-07 20:00:00,2018-08-13 09:00:00,NULL,NULL,NULL
60,14,85,152000,0,4800,2500,4800,2018-07-26 07:00:00,2018-07-31 01:00:00,NULL,NULL,NULL
61,15,126,150000,1,3000,7100,1200,2018-07-07 14:00:00,2018-07-13 12:00:00,NULL,NULL,NULL
62,15,72,310000,0,3400,9500,3800,2018-07-04 10:00:00,2018-07-10 19:00:00,NULL,NULL,NULL
63,15,112,257000,1,675,650,1700,2018-07-05 01:00:00,2018-07-09 17:00:00,NULL,NULL,NULL
64,16,62,270000,1,7200,9400,3300,2018-07-14 16:00:00,2018-07-20 16:00:00,NULL,NULL,NULL
65,16,131,189000,0,700,3800,7200,2018-07-28 08:00:00,2018-08-03 17:00:00,NULL,NULL,NULL
66,16,57,101000,1,725,2125,1575,2018-07-14 10:00:00,2018-07-20 02:00:00,NULL,NULL,NULL
67,16,129,1094000,0,6500,4600,4700,2018-08-10 15:00:00,2018-08-16 08:00:00,NULL,NULL,NULL
68,17,157,201000,0,5000,8800,300,2018-08-03 00:00:00,2018-08-07 12:00:00,NULL,NULL,NULL
69,17,99,334000,1,5100,9300,5500,2018-07-06 19:00:00,2018-07-12 13:00:00,NULL,NULL,NULL
70,17,47,260000,1,1200,5100,3200,2018-08-11 15:00:00,2018-08-17 19:00:00,NULL,NULL,NULL
71,18,147,36000,0,1525,1100,1800,2018-08-10 01:00:00,2018-08-15 01:00:00,NULL,NULL,NULL
72,18,122,232000,0,1700,8800,4200,2018-07-20 15:00:00,2018-07-27 14:00:00,NULL,NULL,NULL
73,18,13,336000,1,7600,1700,2100,2018-07-07 17:00:00,2018-07-13 17:00:00,NULL,NULL,NULL
74,18,175,439000,0,7900,4900,8500,2018-08-15 12:00:00,2018-08-20 12:00:00,NULL,NULL,NULL
75,19,23,1433000,1,9000,5700,7900,2018-07-10 22:00:00,2018-07-17 01:00:00,NULL,NULL,NULL
76,19,4,887000,0,3700,4600,2600,2018-07-13 09:00:00,2018-07-18 18:00:00,NULL,NULL,NULL
77,19,56,3510000,0,9700,3900,6500,2018-07-30 08:00:00,2018-08-03 15:00:00,NULL,NULL,NULL
78,19,63,107000,1,3100,2600,2400,2018-07-08 23:00:00,2018-07-13 22:00:00,NULL,NULL,NULL
79,19,12,818000,0,3900,100,8000,2018-08-12 07:00:00,2018-08-17 12:00:00,NULL,NULL,NULL
80,20,89,92000,1,2500,5600,3000,2018-08-03 12:00:00,2018-08-08 11:00:00,NULL,NULL,NULL
81,20,38,674000,1,10000,9100,7100,2018-07-31 05:00:00,2018-08-04 18:00:00,NULL,NULL,NULL
82,20,26,1913000,0,2300,8000,9100,2018-08-13 23:00:00,2018-08-19 21:00:00,NULL,NULL,NULL
83,21,154,202000,1,5200,3500,9900,2018-07-05 01:00:00,2018-07-09 10:00:00,NULL,NULL,NULL
84,21,123,342000,0,8300,3200,9000,2018-07-14 20:00:00,2018-07-19 11:00:00,NULL,NULL,NULL
85,21,41,367000,1,7400,9900,2800,2018-07-24 03:00:00,2018-07-30 13:00:00,NULL,NULL,NULL
86,21,164,433000,0,2900,1400,8900,2018-08-10 15:00:00,2018-08-16 22:00:00,NULL,NULL,NULL
87,22,146,347000,1,5500,3900,3100,2018-07-25 14:00:00,2018-07-29 19:00:00,NULL,NULL,NULL
88,22,141,431000,0,1825,1950,1175,2018-08-02 06:00:00,2018-08-09 02:00:00,NULL,NULL,NULL
89,22,65,21000,0,325,900,1900,2018-08-02 05:00:00,2018-08-07 02:00:00,NULL,NULL,NULL
90,22,85,255000,0,8500,6700,2100,2018-08-06 17:00:00,2018-08-13 06:00:00,NULL,NULL,NULL
91,22,20,1260000,0,4400,9300,6600,2018-08-03 18:00:00,2018-08-10 05:00:00,NULL,NULL,NULL
92,23,56,1339000,1,1900,4200,2000,2018-08-01 11:00:00,2018-08-05 18:00:00,NULL,NULL,NULL
93,23,144,397000,1,8100,5000,4400,2018-08-11 08:00:00,2018-08-16 13:00:00,NULL,NULL,NULL
94,23,31,1444000,0,4100,7800,9700,2018-07-11 10:00:00,2018-07-16 01:00:00,NULL,NULL,NULL
95,23,45,315000,1,1500,9800,400,2018-07-04 13:00:00,2018-07-10 22:00:00,NULL,NULL,NULL
96,24,72,376000,0,8300,6900,1400,2018-07-13 21:00:00,2018-07-18 21:00:00,NULL,NULL,NULL
97,24,111,199000,1,1550,375,2425,2018-08-03 15:00:00,2018-08-09 02:00:00,NULL,NULL,NULL
98,24,60,32000,0,625,2225,1400,2018-07-27 17:00:00,2018-08-01 12:00:00,NULL,NULL,NULL
99,25,170,37000,0,1500,2225,25,2018-07-05 19:00:00,2018-07-12 05:00:00,NULL,NULL,NULL
100,25,88,150000,0,2600,5200,5400,2018-07-20 11:00:00,2018-07-27 09:00:00,NULL,NULL,NULL
101,25,15,182000,1,3500,5500,900,2018-08-01 04:00:00,2018-08-07 22:00:00,NULL,NULL,NULL
102,25,98,144000,0,1825,325,2375,2018-08-13 22:00:00,2018-08-20 01:00:00,NULL,NULL,NULL
103,26,83,394000,0,5500,700,1700,2018-08-05 08:00:00,2018-08-10 13:00:00,NULL,NULL,NULL
104,26,19,228000,0,6400,5400,1400,2018-07-14 23:00:00,2018-07-21 05:00:00,NULL,NULL,NULL
105,26,163,51000,1,1400,2125,1500,2018-08-08 21:00:00,2018-08-15 13:00:00,NULL,NULL,NULL
106,26,104,54000,0,7900,1400,1400,2018-08-07 18:00:00,2018-08-13 11:00:00,NULL,NULL,NULL
107,26,47,255000,1,5100,1100,400,2018-08-05 14:00:00,2018-08-10 20:00:00,NULL,NULL,NULL
108,27,177,741000,1,6400,9500,5800,2018-07-17 11:00:00,2018-07-23 00:00:00,NULL,NULL,NULL
109,27,137,432000,1,2000,8900,9200,2018-08-03 10:00:00,2018-08-08 06:00:00,NULL,NULL,NULL
110,27,83,651000,1,6800,5600,600,2018-08-08 15:00:00,2018-08-15 08:00:00,NULL,NULL,NULL
111,27,176,28000,1,75,375,2150,2018-08-10 10:00:00,2018-08-16 17:00:00,NULL,NULL,NULL
112,27,106,171000,1,7000,8800,1700,2018-08-09 10:00:00,2018-08-13 18:00:00,NULL,NULL,NULL
113,28,32,545000,1,8800,4100,9400,2018-07-31 17:00:00,2018-08-04 18:00:00,NULL,NULL,NULL
114,28,134,461000,0,5400,7700,4800,2018-07-19 17:00:00,2018-07-24 20:00:00,NULL,NULL,NULL
115,28,25,524000,0,2200,3600,3400,2018-08-09 10:00:00,2018-08-13 15:00:00,NULL,NULL,NULL
116,28,3,643000,1,7800,3700,8400,2018-08-14 19:00:00,2018-08-21 07:00:00,NULL,NULL,NULL
117,28,167,150000,0,1800,1800,8200,2018-07-05 06:00:00,2018-07-09 15:00:00,NULL,NULL,NULL
118,28,12,1152000,1,6400,2500,3600,2018-08-02 08:00:00,2018-08-07 10:00:00,NULL,NULL,NULL
119,28,58,978000,1,8000,5700,4300,2018-07-14 12:00:00,2018-07-20 08:00:00,NULL,NULL,NULL
120,29,15,312000,1,7400,3800,7000,2018-07-21 13:00:00,2018-07-27 18:00:00,NULL,NULL,NULL
121,29,170,37000,1,1350,1825,1325,2018-07-24 15:00:00,2018-07-30 12:00:00,NULL,NULL,NULL
122,29,11,230000,0,650,400,750,2018-07-18 12:00:00,2018-07-23 13:00:00,NULL,NULL,NULL
123,30,126,185000,1,1600,7200,8500,2018-08-07 13:00:00,2018-08-14 03:00:00,NULL,NULL,NULL
124,30,173,39000,0,1350,1150,150,2018-07-12 12:00:00,2018-07-19 12:00:00,NULL,NULL,NULL
125,30,37,424000,1,6500,4100,2500,2018-08-16 20:00:00,2018-08-22 11:00:00,NULL,NULL,NULL
126,30,140,82000,0,1400,1625,2175,2018-07-15 05:00:00,2018-07-19 09:00:00,NULL,NULL,NULL
127,30,9,302000,1,600,4000,3000,2018-07-18 02:00:00,2018-07-24 18:00:00,NULL,NULL,NULL
128,30,22,5615000,1,8000,1500,1300,2018-08-14 06:00:00,2018-08-20 15:00:00,NULL,NULL,NULL
129,31,116,362000,0,7200,6200,8600,2018-07-27 00:00:00,2018-08-01 23:00:00,NULL,NULL,NULL
130,31,32,229000,0,2600,4100,2100,2018-07-30 09:00:00,2018-08-05 07:00:00,NULL,NULL,NULL
131,31,78,785000,0,8900,900,9300,2018-08-12 16:00:00,2018-08-17 21:00:00,NULL,NULL,NULL
132,31,90,197000,1,6200,9800,8900,2018-07-10 07:00:00,2018-07-16 13:00:00,NULL,NULL,NULL
133,32,11,368000,1,175,2000,650,2018-07-11 19:00:00,2018-07-17 08:00:00,NULL,NULL,NULL
134,32,27,633000,1,8900,3600,5300,2018-07-20 12:00:00,2018-07-27 11:00:00,NULL,NULL,NULL
135,32,82,829000,0,8400,6000,2700,2018-07-30 14:00:00,2018-08-05 20:00:00,NULL,NULL,NULL
136,33,98,65000,0,300,950,925,2018-07-11 15:00:00,2018-07-17 16:00:00,NULL,NULL,NULL
137,33,180,255000,0,5300,6800,1400,2018-07-23 04:00:00,2018-07-27 21:00:00,NULL,NULL,NULL
138,33,39,223000,0,8800,200,1800,2018-07-24 03:00:00,2018-07-29 06:00:00,NULL,NULL,NULL
139,33,122,265000,1,5600,4400,5600,2018-07-06 15:00:00,2018-07-11 14:00:00,NULL,NULL,NULL
140,34,87,172000,1,4800,8100,3000,2018-07-31 05:00:00,2018-08-06 20:00:00,NULL,NULL,NULL
141,34,27,388000,0,1900,8200,1100,2018-08-10 23:00:00,2018-08-17 20:00:00,NULL,NULL,NULL
142,34,132,239000,0,1500,8400,6700,2018-08-10 09:00:00,2018-08-15 20:00:00,NULL,NULL,NULL
143,34,54,667000,0,9900,100,4300,2018-07-14 14:00:00,2018-07-19 01:00:00,NULL,NULL,NULL
144,35,118,361000,0,5800,9600,5200,2018-07-30 02:00:00,2018-08-05 11:00:00,NULL,NULL,NULL
145,35,148,686000,0,9300,5900,1500,2018-07-24 03:00:00,2018-07-28 18:00:00,NULL,NULL,NULL
146,35,157,235000,1,8000,5300,3600,2018-07-06 22:00:00,2018-07-12 19:00:00,NULL,NULL,NULL
147,36,93,42000,1,800,480,850,2018-08-12 05:00:00,2018-08-16 21:00:00,NULL,NULL,NULL
148,36,63,221000,1,3200,10000,4500,2018-08-07 19:00:00,2018-08-13 11:00:00,NULL,NULL,NULL
149,36,136,1252000,0,1300,5800,8400,2018-07-28 01:00:00,2018-08-03 19:00:00,NULL,NULL,NULL
150,36,115,145000,0,3400,700,5500,2018-08-02 08:00:00,2018-08-08 00:00:00,NULL,NULL,NULL
151,36,147,15000,0,200,1200,600,2018-07-15 16:00:00,2018-07-21 20:00:00,NULL,NULL,NULL
152,37,140,64000,1,1300,675,2350,2018-08-08 16:00:00,2018-08-14 12:00:00,NULL,NULL,NULL
153,37,175,328000,1,2700,7400,7500,2018-08-09 10:00:00,2018-08-13 21:00:00,NULL,NULL,NULL
154,37,18,180000,1,5100,1500,5900,2018-07-07 09:00:00,2018-07-13 08:00:00,NULL,NULL,NULL
155,37,141,392000,1,1950,1550,400,2018-07-30 10:00:00,2018-08-04 13:00:00,NULL,NULL,NULL
156,38,175,371000,1,8800,2100,5000,2018-07-15 17:00:00,2018-07-22 14:00:00,NULL,NULL,NULL
157,38,101,1059000,1,9500,4000,6300,2018-07-21 03:00:00,2018-07-26 09:00:00,NULL,NULL,NULL
158,38,143,487000,0,8500,6500,1200,2018-07-23 09:00:00,2018-07-28 13:00:00,NULL,NULL,NULL
159,38,117,328000,0,5200,9800,3000,2018-08-08 20:00:00,2018-08-14 10:00:00,NULL,NULL,NULL
160,39,135,61000,0,2250,500,125,2018-07-07 16:00:00,2018-07-12 19:00:00,NULL,NULL,NULL
161,39,58,1017000,1,8200,5200,6600,2018-07-27 01:00:00,2018-08-02 08:00:00,NULL,NULL,NULL
162,39,145,241000,1,3700,6800,4000,2018-07-26 05:00:00,2018-07-31 05:00:00,NULL,NULL,NULL
163,39,42,453000,1,3400,9200,2600,2018-07-25 16:00:00,2018-07-31 13:00:00,NULL,NULL,NULL
164,39,149,325000,1,4200,8000,1600,2018-08-13 23:00:00,2018-08-19 06:00:00,NULL,NULL,NULL
165,40,23,988000,0,4500,6500,4100,2018-08-17 10:00:00,2018-08-24 02:00:00,NULL,NULL,NULL
166,40,121,369000,0,2000,9700,7900,2018-08-12 22:00:00,2018-08-18 07:00:00,NULL,NULL,NULL
167,40,44,240000,0,1500,5000,3700,2018-07-26 18:00:00,2018-08-02 11:00:00,NULL,NULL,NULL
168,40,67,159000,0,900,7200,4100,2018-08-16 09:00:00,2018-08-21 03:00:00,NULL,NULL,NULL
169,40,12,1228000,0,2900,8400,2900,2018-08-05 09:00:00,2018-08-10 02:00:00,NULL,NULL,NULL
170,41,163,41000,1,1625,600,1800,2018-07-10 00:00:00,2018-07-14 11:00:00,NULL,NULL,NULL
171,41,177,332000,0,1600,6600,1500,2018-07-20 15:00:00,2018-07-27 12:00:00,NULL,NULL,NULL
172,41,60,26000,1,75,2350,1175,2018-07-17 14:00:00,2018-07-22 15:00:00,NULL,NULL,NULL
173,42,180,235000,1,4800,6300,900,2018-07-04 09:00:00,2018-07-09 16:00:00,NULL,NULL,NULL
174,42,95,58000,1,770,50,510,2018-08-04 06:00:00,2018-08-08 13:00:00,NULL,NULL,NULL
175,42,130,371000,0,5900,9500,6400,2018-07-18 23:00:00,2018-07-24 13:00:00,NULL,NULL,NULL
176,42,24,1295000,1,8900,9900,5300,2018-07-24 08:00:00,2018-07-31 07:00:00,NULL,NULL,NULL
177,43,89,171000,0,8500,5600,4000,2018-08-02 00:00:00,2018-08-07 17:00:00,NULL,NULL,NULL
178,43,125,271000,0,9200,4100,8900,2018-07-31 00:00:00,2018-08-05 11:00:00,NULL,NULL,NULL
179,43,165,476000,1,10000,7000,2000,2018-08-04 01:00:00,2018-08-08 03:00:00,NULL,NULL,NULL
180,44,3,127000,1,1400,200,3000,2018-07-22 22:00:00,2018-07-28 02:00:00,NULL,NULL,NULL
181,44,124,428000,1,9800,8900,3700,2018-08-01 11:00:00,2018-08-07 04:00:00,NULL,NULL,NULL
182,44,25,1170000,1,10000,3100,5100,2018-08-01 19:00:00,2018-08-06 19:00:00,NULL,NULL,NULL
183,44,88,87000,1,300,4900,2500,2018-07-13 21:00:00,2018-07-19 03:00:00,NULL,NULL,NULL
184,45,14,111000,0,2900,500,7800,2018-07-29 23:00:00,2018-08-05 06:00:00,NULL,NULL,NULL
185,45,7,728000,1,8400,4300,1700,2018-08-05 06:00:00,2018-08-11 17:00:00,NULL,NULL,NULL
186,45,54,494000,1,3600,1000,9900,2018-08-05 14:00:00,2018-08-12 11:00:00,NULL,NULL,NULL
187,45,60,23000,0,575,950,1800,2018-08-07 05:00:00,2018-08-13 09:00:00,NULL,NULL,NULL
188,45,10,76000,1,350,1025,475,2018-08-08 22:00:00,2018-08-14 18:00:00,NULL,NULL,NULL
189,45,4,1553000,1,6500,5200,9400,2018-08-02 05:00:00,2018-08-07 01:00:00,NULL,NULL,NULL
190,46,12,1963000,0,8300,9700,4000,2018-07-20 20:00:00,2018-07-26 04:00:00,NULL,NULL,NULL
191,46,180,278000,0,6900,4900,2600,2018-07-12 18:00:00,2018-07-17 14:00:00,NULL,NULL,NULL
192,46,125,124000,0,3100,1100,7800,2018-08-12 20:00:00,2018-08-18 16:00:00,NULL,NULL,NULL
193,47,64,225000,0,2100,4900,1500,2018-08-01 14:00:00,2018-08-06 19:00:00,NULL,NULL,NULL
194,47,48,911000,1,10000,4100,5600,2018-07-11 14:00:00,2018-07-16 12:00:00,NULL,NULL,NULL
195,47,39,175000,0,2400,4300,5000,2018-07-14 16:00:00,2018-07-20 14:00:00,NULL,NULL,NULL
196,48,98,210000,1,2400,2175,1175,2018-07-07 22:00:00,2018-07-13 02:00:00,NULL,NULL,NULL
197,48,91,4000,0,310,320,410,2018-07-30 12:00:00,2018-08-04 11:00:00,NULL,NULL,NULL
198,48,30,1092000,0,7600,6000,7800,2018-07-14 00:00:00,2018-07-20 18:00:00,NULL,NULL,NULL
199,48,148,865000,0,9300,8100,7500,2018-08-12 00:00:00,2018-08-17 10:00:00,NULL,NULL,NULL
200,48,169,148000,0,2200,3900,2700,2018-08-10 17:00:00,2018-08-16 18:00:00,NULL,NULL,NULL
201,49,155,125000,0,900,5600,8400,2018-07-24 07:00:00,2018-07-30 16:00:00,NULL,NULL,NULL
202,49,105,389000,0,7400,7500,9600,2018-07-25 17:00:00,2018-07-30 17:00:00,NULL,NULL,NULL
203,49,12,2046000,1,6800,9100,9900,2018-08-14 20:00:00,2018-08-18 22:00:00,NULL,NULL,NULL
204,49,93,54000,1,970,820,800,2018-07-26 09:00:00,2018-08-01 05:00:00,NULL,NULL,NULL
205,50,36,372000,0,4000,6300,9200,2018-07-17 19:00:00,2018-07-22 22:00:00,NULL,NULL,NULL
206,50,65,24000,1,600,825,2250,2018-08-10 08:00:00,2018-08-14 13:00:00,NULL,NULL,NULL
207,50,87,195000,0,6900,6000,4100,2018-07-16 03:00:00,2018-07-22 06:00:00,NULL,NULL,NULL
208,50,18,80000,1,2800,1400,300,2018-07-21 06:00:00,2018-07-26 06:00:00,NULL,NULL,NULL
209,51,16,28000,1,875,450,1075,2018-07-10 02:00:00,2018-07-14 03:00:00,NULL,NULL,NULL
210,51,96,75000,1,280,90,730,2018-07-13 02:00:00,2018-07-19 19:00:00,NULL,NULL,NULL
211,51,59,315000,0,6600,4900,7600,2018-08-13 09:00:00,2018-08-18 14:00:00,NULL,NULL,NULL
212,51,72,84000,1,1000,600,4300,2018-08-01 18:00:00,2018-08-07 11:00:00,NULL,NULL,NULL
213,51,153,1305000,1,600,9900,3200,2018-08-03 08:00:00,2018-08-08 10:00:00,NULL,NULL,NULL
214,52,154,337000,1,8600,9500,8500,2018-08-08 11:00:00,2018-08-14 11:00:00,NULL,NULL,NULL
215,52,152,151000,1,725,1550,775,2018-07-08 21:00:00,2018-07-15 15:00:00,NULL,NULL,NULL
216,52,31,1127000,0,2100,7800,7500,2018-07-18 21:00:00,2018-07-24 02:00:00,NULL,NULL,NULL
217,52,79,97000,1,4200,1800,7500,2018-07-18 08:00:00,2018-07-23 06:00:00,NULL,NULL,NULL
218,53,70,373000,1,2500,4100,8800,2018-08-04 12:00:00,2018-08-10 06:00:00,NULL,NULL,NULL
219,53,134,265000,0,5200,2200,1500,2018-07-04 03:00:00,2018-07-08 14:00:00,NULL,NULL,NULL
220,53,124,246000,1,5300,6200,1600,2018-07-23 16:00:00,2018-07-29 08:00:00,NULL,NULL,NULL
221,53,159,154000,1,5100,4200,5600,2018-08-10 05:00:00,2018-08-16 10:00:00,NULL,NULL,NULL
222,53,48,565000,0,800,7900,6900,2018-08-14 12:00:00,2018-08-20 18:00:00,NULL,NULL,NULL
223,54,8,552000,0,7100,500,8000,2018-08-16 07:00:00,2018-08-22 13:00:00,NULL,NULL,NULL
224,54,46,341000,1,5400,7700,9200,2018-08-15 21:00:00,2018-08-20 08:00:00,NULL,NULL,NULL
225,54,89,109000,1,500,9800,4100,2018-07-24 02:00:00,2018-07-28 19:00:00,NULL,NULL,NULL
226,55,76,221000,0,4400,2300,7900,2018-08-01 17:00:00,2018-08-08 06:00:00,NULL,NULL,NULL
227,55,12,1301000,1,3000,5500,9400,2018-07-13 01:00:00,2018-07-18 17:00:00,NULL,NULL,NULL
228,55,66,902000,1,6500,4200,400,2018-08-14 15:00:00,2018-08-21 15:00:00,NULL,NULL,NULL
229,56,87,125000,0,4000,1800,8600,2018-07-11 10:00:00,2018-07-17 11:00:00,NULL,NULL,NULL
230,56,54,705000,0,1800,9400,8500,2018-07-04 16:00:00,2018-07-10 21:00:00,NULL,NULL,NULL
231,56,102,239000,1,3700,7800,1800,2018-07-31 04:00:00,2018-08-06 03:00:00,NULL,NULL,NULL
232,56,167,280000,1,2500,8800,7800,2018-08-05 07:00:00,2018-08-09 12:00:00,NULL,NULL,NULL
233,57,119,453000,0,2900,9100,7800,2018-08-03 12:00:00,2018-08-09 21:00:00,NULL,NULL,NULL
234,57,105,319000,0,4700,7200,8200,2018-07-26 22:00:00,2018-08-02 07:00:00,NULL,NULL,NULL
235,57,96,64000,0,50,460,400,2018-07-10 01:00:00,2018-07-15 11:00:00,NULL,NULL,NULL
236,57,14,236000,1,7900,5800,2500,2018-07-20 17:00:00,2018-07-24 20:00:00,NULL,NULL,NULL
237,57,69,112000,1,600,2400,3700,2018-07-17 07:00:00,2018-07-24 01:00:00,NULL,NULL,NULL
238,57,159,214000,0,8800,5800,4500,2018-07-16 02:00:00,2018-07-21 17:00:00,NULL,NULL,NULL
239,57,34,377000,1,4500,4500,700,2018-07-04 07:00:00,2018-07-09 03:00:00,NULL,NULL,NULL
240,58,53,916000,1,2500,6700,8600,2018-08-03 06:00:00,2018-08-08 05:00:00,NULL,NULL,NULL
241,58,147,32000,0,1275,1525,775,2018-07-08 04:00:00,2018-07-13 13:00:00,NULL,NULL,NULL
